A;050;20030501 12:38;PBARBER;
B;050;500568;47;20030501 12:38;;;6;SOUTHERNVIEW CT;ALBURY;2640;1452;M;20030131;20030328;233000;A;R;RESIDENCE;;AC;;;9533336;
C;050;500568;47;20030501 12:38;614//715288;
D;050;500568;47;20030501 12:38;P;;;;;;
D;050;500568;47;20030501 12:38;P;;;;;;
D;050;500568;47;20030501 12:38;V;;;;;;
B;050;500693;48;20030501 12:38;;1;610;STANLEY ST;ALBURY;2640;;;20021230;20030304;70000;;R;RESIDENCE;1;;;;9522680;
C;050;500693;48;20030501 12:38;1//SP 31665;
D;050;500693;48;20030501 12:38;P;;;;;;
D;050;500693;48;20030501 12:38;P;;;;;;
D;050;500693;48;20030501 12:38;V;;;;;;
B;050;501133;49;20030501 12:38;;;452;SWIFT ST;ALBURY;2640;754.1;M;20030203;20030303;190000;B;3;OFFICE;;CE;;;9538200;
C;050;501133;49;20030501 12:38;9//770027;
D;050;501133;49;20030501 12:38;P;;;;;;
D;050;501133;49;20030501 12:38;P;;;;;;
D;050;501133;49;20030501 12:38;V;;;;;;
D;050;501133;49;20030501 12:38;V;;;;;;
D;050;501133;49;20030501 12:38;V;;;;;;
D;050;501133;49;20030501 12:38;V;;;;;;
B;050;501463;50;20030501 12:38;;;16;THE FELL;THURGOONA;2640;1129;M;20030211;20030217;49000;A;V;VACANT LAND;;AQ;;;9514674;
C;050;501463;50;20030501 12:38;130//858000;
D;050;501463;50;20030501 12:38;P;;;;;;
D;050;501463;50;20030501 12:38;P;;;;;;
D;050;501463;50;20030501 12:38;V;;;;;;
B;050;501832;51;20030501 12:38;;;292;TULLA ST;NORTH ALBURY;2640;;;20030320;20030327;100000;A;R;RESIDENCE;;AJ;;;9546097;
C;050;501832;51;20030501 12:38;52//38790;
D;050;501832;51;20030501 12:38;P;;;;;;
D;050;501832;51;20030501 12:38;P;;;;;;
D;050;501832;51;20030501 12:38;V;;;;;;
D;050;501832;51;20030501 12:38;V;;;;;;
B;050;502028;52;20030501 12:38;;1;440;UNION RD;ALBURY;2640;;;20030305;20030403;115000;;R;RESIDENCE;1;;;;9526320;
C;050;502028;52;20030501 12:38;1//SP 20994;
D;050;502028;52;20030501 12:38;P;;;;;;
D;050;502028;52;20030501 12:38;V;;;;;;
B;050;502774;53;20030501 12:38;;;26;WALDNER CT;LAVINGTON;2641;701.3;M;20030318;20030403;35000;A;V;VACANT LAND;;AL;;;9522708;
C;050;502774;53;20030501 12:38;12//1007559;
D;050;502774;53;20030501 12:38;P;;;;;;
D;050;502774;53;20030501 12:38;P;;;;;;
D;050;502774;53;20030501 12:38;V;;;;;;
B;050;503204;54;20030501 12:38;;8;595;WEBB ST;LAVINGTON;2641;;;20030204;20030305;69000;;R;RESIDENCE;8;;;;9550884;
C;050;503204;54;20030501 12:38;8//SP 21424;
D;050;503204;54;20030501 12:38;P;;;;;;
D;050;503204;54;20030501 12:38;P;;;;;;
D;050;503204;54;20030501 12:38;V;;;;;;
D;050;503204;54;20030501 12:38;V;;;;;;
B;050;503555;55;20030501 12:38;;;530;WILLIAMS ST;LAVINGTON;2641;1024;M;20030307;20030321;135000;A;R;RESIDENCE;;AL;;;9545881;
C;050;503555;55;20030501 12:38;18//30424;
D;050;503555;55;20030501 12:38;P;;;;;;
D;050;503555;55;20030501 12:38;P;;;;;;
D;050;503555;55;20030501 12:38;V;;;;;;
B;050;503650;56;20030501 12:38;;;984;WINGARA ST;ALBURY;2640;708.2;M;20030127;20030328;126500;A;R;RESIDENCE;;AJ;;;9536565;
C;050;503650;56;20030501 12:38;110//29744;
D;050;503650;56;20030501 12:38;P;;;;;;
D;050;503650;56;20030501 12:38;V;;;;;;
D;050;503650;56;20030501 12:38;V;;;;;;
B;050;503671;57;20030501 12:38;;;1109;WINGARA ST;ALBURY;2640;765.1;M;20030307;20030326;129000;A;R;RESIDENCE;;AJ;;;9541150;
C;050;503671;57;20030501 12:38;5//234030;
D;050;503671;57;20030501 12:38;P;;;;;;
D;050;503671;57;20030501 12:38;V;;;;;;
B;050;504180;58;20030501 12:38;;;471;YOUNG ST;ALBURY;2640;;;20030306;20030401;630000;B;3;MOTEL;;CE;;;9534891;
C;050;504180;58;20030501 12:38;8//82344;
D;050;504180;58;20030501 12:38;P;;;;;;
D;050;504180;58;20030501 12:38;V;;;;;;
D;050;504180;58;20030501 12:38;V;;;;;;
B;050;2773551;59;20030501 12:38;;;24;MACE CT;LAVINGTON;2641;854;M;20030306;20030404;54000;A;V;VACANT LAND;;AN;;;9536739;
C;050;2773551;59;20030501 12:38;102//1022150;
D;050;2773551;59;20030501 12:38;P;;;;;;
D;050;2773551;59;20030501 12:38;P;;;;;;
D;050;2773551;59;20030501 12:38;V;;;;;;
D;050;2773551;59;20030501 12:38;V;;;;;;
B;050;2839549;60;20030501 12:38;;;21;IBIS CL;ALBURY;2640;795.1;M;20030306;20030319;280000;A;R;RESIDENCE;;AY;;;9537931;
C;050;2839549;60;20030501 12:38;229//1028861;
D;050;2839549;60;20030501 12:38;P;;;;;;
D;050;2839549;60;20030501 12:38;P;;;;;;
D;050;2839549;60;20030501 12:38;V;;;;;;
D;050;2839549;60;20030501 12:38;V;;;;;;
B;050;2839550;61;20030501 12:38;;;17;IBIS CL;ALBURY;2640;804.1;M;20030321;20030331;275000;A;R;RESIDENCE;;AY;;;9534624;
C;050;2839550;61;20030501 12:38;230//1028861;
D;050;2839550;61;20030501 12:38;P;;;;;;
D;050;2839550;61;20030501 12:38;P;;;;;;
D;050;2839550;61;20030501 12:38;V;;;;;;
D;050;2839550;61;20030501 12:38;V;;;;;;
B;050;2868733;62;20030501 12:38;;;100;DRYANDRA WAY;THURGOONA;2640;785.7;M;20030304;20030331;37000;A;V;VACANT LAND;;AQ;;;9541726;
C;050;2868733;62;20030501 12:38;420//1035198;
D;050;2868733;62;20030501 12:38;P;;;;;;
D;050;2868733;62;20030501 12:38;P;;;;;;
D;050;2868733;62;20030501 12:38;V;;;;;;
B;050;2868749;63;20030501 12:38;;;92;DRYANDRA WAY;THURGOONA;2640;691.6;M;20030324;20030328;36500;A;V;VACANT LAND;;AQ;;;9521543;
C;050;2868749;63;20030501 12:38;436//1035198;
D;050;2868749;63;20030501 12:38;P;;;;;;
D;050;2868749;63;20030501 12:38;V;;;;;;
B;050;2947552;64;20030501 12:38;;;28;SEVERIN CT;THURGOONA;2640;451.5;M;20030206;20030314;200000;A;R;RESIDENCE;;AQ;;;9550474;
C;050;2947552;64;20030501 12:38;941//1046504;
D;050;2947552;64;20030501 12:38;P;;;;;;
D;050;2947552;64;20030501 12:38;P;;;;;;
D;050;2947552;64;20030501 12:38;P;;;;;;
D;050;2947552;64;20030501 12:38;V;;;;;;
B;050;2947552;65;20030501 12:38;;;28;SEVERIN CT;THURGOONA;2640;451.5;M;20030206;20030314;200000;A;R;RESIDENCE;;AQ;;;9550475;
C;050;2947552;65;20030501 12:38;941//1046504;
D;050;2947552;65;20030501 12:38;P;;;;;;
D;050;2947552;65;20030501 12:38;P;;;;;;
D;050;2947552;65;20030501 12:38;V;;;;;;
D;050;2947552;65;20030501 12:38;V;;;;;;
D;050;2947552;65;20030501 12:38;V;;;;;;
B;050;500245;66;20030501 12:38;;14;7;SEVERIN CT;THURGOONA;2640;;;20020818;20030403;101000;;R;RESIDENCE;14;;;;9515443;
C;050;500245;66;20030501 12:38;14//SP 69335;
D;050;500245;66;20030501 12:38;P;;;;;;
D;050;500245;66;20030501 12:38;V;;;;;;
B;050;500245;67;20030501 12:38;;40;7;SEVERIN CT;THURGOONA;2640;;;20030108;20030328;101000;;R;RESIDENCE;40;;;;9531932;
C;050;500245;67;20030501 12:38;40//SP 69335;
D;050;500245;67;20030501 12:38;P;;;;;;
D;050;500245;67;20030501 12:38;P;;;;;;
D;050;500245;67;20030501 12:38;V;;;;;;
B;050;500245;68;20030501 12:38;;41;7;SEVERIN CT;THURGOONA;2640;;;20030108;20030328;101000;;R;RESIDENCE;41;;;;9531931;
C;050;500245;68;20030501 12:38;41//SP 69335;
D;050;500245;68;20030501 12:38;P;;;;;;
D;050;500245;68;20030501 12:38;P;;;;;;
D;050;500245;68;20030501 12:38;V;;;;;;
B;050;500245;69;20030501 12:38;;52;7;SEVERIN CT;THURGOONA;2640;;;20030318;20030403;101000;;R;RESIDENCE;52;;;;9541737;
C;050;500245;69;20030501 12:38;52//SP 69335;
D;050;500245;69;20030501 12:38;P;;;;;;
D;050;500245;69;20030501 12:38;V;;;;;;
B;050;500245;70;20030501 12:38;;7;7;SEVERIN CT;THURGOONA;2640;;;20030326;20030408;101000;;R;RESIDENCE;7;;;;9530010;
C;050;500245;70;20030501 12:38;7//SP 69335;
D;050;500245;70;20030501 12:38;P;;;;;;
D;050;500245;70;20030501 12:38;V;;;;;;
Z;361;70;70;219;
