A;205;20020603 10:28;MSMITH;
D;205;1918354;29;20020603 10:28;P;;;;;;
D;205;1918354;29;20020603 10:28;V;;;;;;
B;205;1918388;30;20020603 10:28;;;97;CHARLES ST;LEICHHARDT;2040;;;20020420;20020509;522000;A;R;RESIDENCE;;EA;;;8606046;
C;205;1918388;30;20020603 10:28;23/9/2279;
D;205;1918388;30;20020603 10:28;P;;;;;;
D;205;1918388;30;20020603 10:28;V;;;;;;
D;205;1918388;30;20020603 10:28;V;;;;;;
B;205;1918521;31;20020603 10:28;;2;14;CHELTENHAM ST;ROZELLE;2039;;;20020318;20020503;445000;;R;RESIDENCE;2;;;;8593398;
C;205;1918521;31;20020603 10:28;2//SP 34166;
D;205;1918521;31;20020603 10:28;P;;;;;;
D;205;1918521;31;20020603 10:28;P;;;;;;
D;205;1918521;31;20020603 10:28;V;;;;;;
B;205;1918683;32;20020603 10:28;;;8;CHURCH ST;BALMAIN;2041;122.6;M;20020315;20020426;525000;A;R;RESIDENCE;;EC;;;8582557;
C;205;1918683;32;20020603 10:28;11//817862;
D;205;1918683;32;20020603 10:28;P;;;;;;
D;205;1918683;32;20020603 10:28;P;;;;;;
D;205;1918683;32;20020603 10:28;V;;;;;;
D;205;1918683;32;20020603 10:28;V;;;;;;
B;205;1918789;33;20020603 10:28;;;7;CLARKE ST;ANNANDALE;2038;240.2;M;20020327;20020506;582000;A;R;RESIDENCE;;EA;;;8575510;
C;205;1918789;33;20020603 10:28;1//927291;
D;205;1918789;33;20020603 10:28;P;;;;;;
D;205;1918789;33;20020603 10:28;P;;;;;;
D;205;1918789;33;20020603 10:28;V;;;;;;
B;205;1919206;34;20020603 10:28;;;4;COLLINS ST;ANNANDALE;2038;234;M;20020227;20020508;525000;A;R;RESIDENCE;;EA;;;8592113;
C;205;1919206;34;20020603 10:28;1//723977;
D;205;1919206;34;20020603 10:28;P;;;;;;
D;205;1919206;34;20020603 10:28;P;;;;;;
D;205;1919206;34;20020603 10:28;V;;;;;;
B;205;1919224;35;20020603 10:28;;1;44;COLLINS ST;ANNANDALE;2038;;;20020315;20020517;336000;;R;RESIDENCE;1;;;;8618623;
C;205;1919224;35;20020603 10:28;1//22018;
D;205;1919224;35;20020603 10:28;P;;;;;;
D;205;1919224;35;20020603 10:28;V;;;;;;
D;205;1919224;35;20020603 10:28;V;;;;;;
B;205;1919680;36;20020603 10:28;;;93;COWPER ST;GLEBE;2037;98.2;M;20020306;20020430;492000;A;R;RESIDENCE;;EA;;;8600985;
C;205;1919680;36;20020603 10:28;14//246374;
D;205;1919680;36;20020603 10:28;P;;;;;;
D;205;1919680;36;20020603 10:28;V;;;;;;
B;205;1919703;37;20020603 10:28;;;11;CREEK ST;FOREST LODGE;2037;156.1;M;20020305;20020423;440000;A;R;RESIDENCE;;EA;;;8561026;
C;205;1919703;37;20020603 10:28;1//437202;
D;205;1919703;37;20020603 10:28;P;;;;;;
D;205;1919703;37;20020603 10:28;V;;;;;;
D;205;1919703;37;20020603 10:28;V;;;;;;
B;205;1919873;38;20020603 10:28;;;90;CURTIS RD;BALMAIN;2041;126.7;M;20020308;20020419;549000;A;R;RESIDENCE;;EC;;;8636251;
C;205;1919873;38;20020603 10:28;1//772356;
D;205;1919873;38;20020603 10:28;P;;;;;;
D;205;1919873;38;20020603 10:28;P;;;;;;
D;205;1919873;38;20020603 10:28;V;;;;;;
B;205;1919992;39;20020603 10:28;;5;28;DANIEL ST;LEICHHARDT;2040;;;20020322;20020506;455000;;R;RESIDENCE;5;;;;8578464;
C;205;1919992;39;20020603 10:28;5//42553;
D;205;1919992;39;20020603 10:28;P;;;;;;
D;205;1919992;39;20020603 10:28;V;;;;;;
B;205;1920017;40;20020603 10:28;;;14;DANIEL ST;LEICHHARDT;2040;234;M;20020405;20020517;570000;A;R;RESIDENCE;;EA;;;8619080;
C;205;1920017;40;20020603 10:28;A//115498;
D;205;1920017;40;20020603 10:28;P;;;;;;
D;205;1920017;40;20020603 10:28;P;;;;;;
D;205;1920017;40;20020603 10:28;V;;;;;;
D;205;1920017;40;20020603 10:28;V;;;;;;
B;205;1920090;41;20020603 10:28;;;56;DARGHAN ST;GLEBE;2037;70.7;M;20020513;20020515;220000;A;R;RESIDENCE;;EA;;;8608093;
C;205;1920090;41;20020603 10:28;5//247835;
D;205;1920090;41;20020603 10:28;P;;;;;;
D;205;1920090;41;20020603 10:28;V;;;;;;
D;205;1920090;41;20020603 10:28;V;;;;;;
B;205;1920202;42;20020603 10:28;;;87 C;DARLING ST;BALMAIN;2041;;;20020405;20020524;727000;;R;RESIDENCE;3;;;;8638151;
C;205;1920202;42;20020603 10:28;3//SP 55043;
D;205;1920202;42;20020603 10:28;P;;;;;;
D;205;1920202;42;20020603 10:28;P;;;;;;
D;205;1920202;42;20020603 10:28;V;;;;;;
D;205;1920202;42;20020603 10:28;V;;;;;;
B;205;1920218;43;20020603 10:28;;;119;DARLING ST;BALMAIN;2041;101.2;M;20020319;20020430;667500;A;R;RESIDENCE;;EB;;;8610227;
C;205;1920218;43;20020603 10:28;2//1038780;
D;205;1920218;43;20020603 10:28;P;;;;;;
D;205;1920218;43;20020603 10:28;V;;;;;;
B;205;1920472;44;20020603 10:28;;;561;DARLING ST;ROZELLE;2039;555.8;M;20011217;20020415;1200000;A;R;RESIDENCE;;EF;;;8584680;
C;205;1920472;44;20020603 10:28;1//711316;
D;205;1920472;44;20020603 10:28;P;;;;;;
D;205;1920472;44;20020603 10:28;V;;;;;;
B;205;1920473;45;20020603 10:28;;;563;DARLING ST;ROZELLE;2039;312.3;M;20011219;20020415;900000;A;R;RESIDENCE;;EB;;;8584677;
C;205;1920473;45;20020603 10:28;2//711316;
D;205;1920473;45;20020603 10:28;P;;;;;;
D;205;1920473;45;20020603 10:28;V;;;;;;
B;205;1920587;46;20020603 10:28;;1;690;DARLING ST;ROZELLE;2039;;;20020415;20020527;410000;;3;SHOP;1;;;;8630583;
C;205;1920587;46;20020603 10:28;1//SP 57749;
D;205;1920587;46;20020603 10:28;P;;;;;;
D;205;1920587;46;20020603 10:28;P;;;;;;
D;205;1920587;46;20020603 10:28;V;;;;;;
B;205;1921623;47;20020603 10:28;;;11;EDITH ST;LEICHHARDT;2040;423.7;M;20020316;20020517;625000;A;R;RESIDENCE;;EF;;;8625982;
C;205;1921623;47;20020603 10:28;2//222846;
D;205;1921623;47;20020603 10:28;P;;;;;;
D;205;1921623;47;20020603 10:28;P;;;;;;
D;205;1921623;47;20020603 10:28;V;;;;;;
B;205;1921700;48;20020603 10:28;;13;66;EDITH ST;LEICHHARDT;2040;;;20020109;20020409;275000;;R;RESIDENCE;13;;;;8542982;
C;205;1921700;48;20020603 10:28;13//8515;
D;205;1921700;48;20020603 10:28;P;;;;;;
D;205;1921700;48;20020603 10:28;P;;;;;;
D;205;1921700;48;20020603 10:28;P;;;;;;
D;205;1921700;48;20020603 10:28;V;;;;;;
B;205;1922490;49;20020603 10:28;;14;187;EVANS ST;ROZELLE;2039;;;20020315;20020502;218000;;R;RESIDENCE;14;;;;8626542;
C;205;1922490;49;20020603 10:28;14//SP 58247;
D;205;1922490;49;20020603 10:28;P;;;;;;
D;205;1922490;49;20020603 10:28;V;;;;;;
B;205;1922561;50;20020603 10:28;;;160;EVANS ST;ROZELLE;2039;132.8;M;20020416;20020416;153334;A;R;RESIDENCE;;EA;;;8571812;
C;205;1922561;50;20020603 10:28;14//208909;
D;205;1922561;50;20020603 10:28;P;;;;;;
D;205;1922561;50;20020603 10:28;P;;;;;;
D;205;1922561;50;20020603 10:28;V;;;;;;
D;205;1922561;50;20020603 10:28;V;;;;;;
B;205;1922602;51;20020603 10:28;;;76;EVANS ST;ROZELLE;2039;177.1;M;20020209;20020326;630000;A;R;RESIDENCE;;EC;;;8552066;
C;205;1922602;51;20020603 10:28;1//914299;
D;205;1922602;51;20020603 10:28;P;;;;;;
D;205;1922602;51;20020603 10:28;V;;;;;;
B;205;1922666;52;20020603 10:28;;31;2;EWENTON ST;BALMAIN;2041;;;20020323;20020419;660500;;R;RESIDENCE;31;;;;8586627;
C;205;1922666;52;20020603 10:28;31//35012;
D;205;1922666;52;20020603 10:28;P;;;;;;
D;205;1922666;52;20020603 10:28;V;;;;;;
D;205;1922666;52;20020603 10:28;V;;;;;;
B;205;1922746;53;20020603 10:28;;;32;EXCELSIOR ST;LEICHHARDT;2040;158.1;M;20020312;20020520;405000;A;R;RESIDENCE;;EA;;;8627904;
C;205;1922746;53;20020603 10:28;B//3094;
D;205;1922746;53;20020603 10:28;P;;;;;;
D;205;1922746;53;20020603 10:28;P;;;;;;
D;205;1922746;53;20020603 10:28;V;;;;;;
D;205;1922746;53;20020603 10:28;V;;;;;;
B;205;1922879;54;20020603 10:28;;;74;FERRIS ST;ANNANDALE;2038;;;20020411;20020524;693500;A;R;RESIDENCE;;EA;;;8637931;
C;205;1922879;54;20020603 10:28;49/34/1116;
D;205;1922879;54;20020603 10:28;P;;;;;;
D;205;1922879;54;20020603 10:28;P;;;;;;
D;205;1922879;54;20020603 10:28;V;;;;;;
