A;089;20011109 09:19;CDIXON;
C;089;807439;33;20011109 09:19;5//748907;
D;089;807439;33;20011109 09:19;P;;;;;;
D;089;807439;33;20011109 09:19;P;;;;;;
D;089;807439;33;20011109 09:19;V;;;;;;
B;089;807847;34;20011109 09:19;;;29;BERTHA ST;MERRYLANDS;2160;;;20010329;20010604;171000;A;R;RESIDENCE;;BC;;;7742042;
C;089;807847;34;20011109 09:19;34/2/1260;
D;089;807847;34;20011109 09:19;P;;;;;;
D;089;807847;34;20011109 09:19;V;;;;;;
B;089;807910;35;20011109 09:19;;;33;BESZANT ST;MERRYLANDS;2160;;;20010405;20010618;209000;A;R;RESIDENCE;;BC;;;7752062;
C;089;807910;35;20011109 09:19;7/7/7470;
D;089;807910;35;20011109 09:19;P;;;;;;
D;089;807910;35;20011109 09:19;P;;;;;;
D;089;807910;35;20011109 09:19;V;;;;;;
B;089;808432;36;20011109 09:19;;;18;BIRTLES AVE;PENDLE HILL;2145;607;M;20010423;20010608;218000;A;R;RESIDENCE;;BQ;;;7745639;
C;089;808432;36;20011109 09:19;11//28982;
D;089;808432;36;20011109 09:19;P;;;;;;
D;089;808432;36;20011109 09:19;V;;;;;;
B;089;808647;37;20011109 09:19;;;315;BLAXCELL ST;GRANVILLE;2142;562.8;M;20010510;20010621;236000;A;R;RESIDENCE;;BC;;;7722442;
C;089;808647;37;20011109 09:19;2//504669;
D;089;808647;37;20011109 09:19;P;;;;;;
D;089;808647;37;20011109 09:19;P;;;;;;
D;089;808647;37;20011109 09:19;V;;;;;;
B;089;808821;38;20011109 09:19;;;120 A;BLAXCELL ST;GRANVILLE;2142;231.7;M;20010526;20010629;272500;A;R;RESIDENCE;;BC;;;7736595;
C;089;808821;38;20011109 09:19;1//851656;
D;089;808821;38;20011109 09:19;P;;;;;;
D;089;808821;38;20011109 09:19;P;;;;;;
D;089;808821;38;20011109 09:19;V;;;;;;
D;089;808821;38;20011109 09:19;V;;;;;;
B;089;809036;39;20011109 09:19;;;119;BOGALARA RD;TOONGABBIE;2146;562.8;M;20010605;20010717;257500;A;R;RESIDENCE;;BQ;;;7797734;
C;089;809036;39;20011109 09:19;3//504838;
D;089;809036;39;20011109 09:19;P;;;;;;
D;089;809036;39;20011109 09:19;P;;;;;;
D;089;809036;39;20011109 09:19;V;;;;;;
D;089;809036;39;20011109 09:19;V;;;;;;
B;089;809143;40;20011109 09:19;;;102;BOGALARA RD;WENTWORTHVILLE;2145;556.4;M;20010427;20010530;253000;A;R;RESIDENCE;;BQ;;;7810367;
C;089;809143;40;20011109 09:19;7//31414;
D;089;809143;40;20011109 09:19;P;;;;;;
D;089;809143;40;20011109 09:19;P;;;;;;
D;089;809143;40;20011109 09:19;V;;;;;;
D;089;809143;40;20011109 09:19;V;;;;;;
B;089;809439;41;20011109 09:19;;;2;BORONIA ST;ERMINGTON;2115;;;20010602;20010602;311500;A;R;RESIDENCE;;AK;;;7786810;
C;089;809439;41;20011109 09:19;B//371774;
D;089;809439;41;20011109 09:19;P;;;;;;
D;089;809439;41;20011109 09:19;P;;;;;;
D;089;809439;41;20011109 09:19;P;;;;;;
D;089;809439;41;20011109 09:19;P;;;;;;
D;089;809439;41;20011109 09:19;P;;;;;;
D;089;809439;41;20011109 09:19;V;;;;;;
B;089;809447;42;20011109 09:19;;;18;BORONIA ST;ERMINGTON;2115;;;20010407;20010629;395000;A;R;RESIDENCE;;AK;;;7773960;
C;089;809447;42;20011109 09:19;492//16184;
D;089;809447;42;20011109 09:19;P;;;;;;
D;089;809447;42;20011109 09:19;P;;;;;;
D;089;809447;42;20011109 09:19;V;;;;;;
B;089;809511;43;20011109 09:19;;;23;BOUNDARY RD;CHESTER HILL;2162;;;20010530;20010717;213500;A;R;RESIDENCE;;BC;;;7814386;
C;089;809511;43;20011109 09:19;118//15602;
D;089;809511;43;20011109 09:19;P;;;;;;
D;089;809511;43;20011109 09:19;V;;;;;;
D;089;809511;43;20011109 09:19;V;;;;;;
B;089;810168;44;20011109 09:19;;6;34;BRICKFIELD ST;NORTH PARRAMATTA;2151;;;20010511;20010626;280000;;R;RESIDENCE;6;;;;7730594;
C;089;810168;44;20011109 09:19;6//SP 58142;
D;089;810168;44;20011109 09:19;P;;;;;;
D;089;810168;44;20011109 09:19;P;;;;;;
D;089;810168;44;20011109 09:19;V;;;;;;
D;089;810168;44;20011109 09:19;V;;;;;;
B;089;810218;45;20011109 09:19;;;43;BRICKFIELD ST;PARRAMATTA;2150;;;20010524;20010705;1500000;A;R;RESIDENCE;;AV;;;7791661;
C;089;810218;45;20011109 09:19;17/61/758788;
D;089;810218;45;20011109 09:19;P;;;;;;
D;089;810218;45;20011109 09:19;P;;;;;;
D;089;810218;45;20011109 09:19;V;;;;;;
B;089;811239;46;20011109 09:19;;;4;BROUGHTON ST;PARRAMATTA;2150;657.6;M;19990909;19991029;295000;A;3;;;AV;;;6324029;
C;089;811239;46;20011109 09:19;PT 1//1028602;
D;089;811239;46;20011109 09:19;P;;;;;;
D;089;811239;46;20011109 09:19;P;;;;;;
D;089;811239;46;20011109 09:19;V;;;;;;
B;089;811466;47;20011109 09:19;;;119;BUCKLEYS RD;WINSTON HILLS;2153;556.4;M;20010530;20010712;265000;A;R;RESIDENCE;;CB;;;7800620;
C;089;811466;47;20011109 09:19;1023//238063;
D;089;811466;47;20011109 09:19;P;;;;;;
D;089;811466;47;20011109 09:19;V;;;;;;
B;089;811475;48;20011109 09:19;;9;18;BUCKLEYS RD;WINSTON HILLS;2153;;;20010520;20010627;280000;;3;HOME UNIT ;9;;;;7771081;
C;089;811475;48;20011109 09:19;9//SP 58474;
D;089;811475;48;20011109 09:19;P;;;;;;
D;089;811475;48;20011109 09:19;P;;;;;;
D;089;811475;48;20011109 09:19;V;;;;;;
B;089;811581;49;20011109 09:19;;;6;BUDGEREE RD;TOONGABBIE;2146;750;M;20010401;20010514;255000;A;R;RESIDENCE;;CX;;;7773386;
C;089;811581;49;20011109 09:19;13//13371;
D;089;811581;49;20011109 09:19;P;;;;;;
D;089;811581;49;20011109 09:19;V;;;;;;
B;089;811628;50;20011109 09:19;;;49;BULLER ST;NORTH PARRAMATTA;2151;;;20010508;20010629;580000;A;R;RESIDENCE;;AV;;;7734231;
C;089;811628;50;20011109 09:19;18//7952;
D;089;811628;50;20011109 09:19;P;;;;;;
D;089;811628;50;20011109 09:19;V;;;;;;
D;089;811628;50;20011109 09:19;V;;;;;;
B;089;811715;51;20011109 09:19;;;137;BULLI RD;TOONGABBIE;2146;556.4;M;20010520;20010628;289000;A;R;RESIDENCE;;BQ;;;7735344;
C;089;811715;51;20011109 09:19;5//221460;
D;089;811715;51;20011109 09:19;P;;;;;;
D;089;811715;51;20011109 09:19;P;;;;;;
D;089;811715;51;20011109 09:19;V;;;;;;
D;089;811715;51;20011109 09:19;V;;;;;;
