A;171;20031002 11:12;PDANN;
C;171;1814943;49;20031002 11:12;99//26085;
D;171;1814943;49;20031002 11:12;P;;;;;;
D;171;1814943;49;20031002 11:12;V;;;;;;
B;171;1815198;50;20031002 11:12;;;54;GARDEN AVE;NUNDERI;2484;2871;M;20030611;20030909;555000;R;R;RESIDENCE;;RE;;0;9974909;
C;171;1815198;50;20031002 11:12;13//786670;
D;171;1815198;50;20031002 11:12;P;;;;;;
D;171;1815198;50;20031002 11:12;P;;;;;;
D;171;1815198;50;20031002 11:12;P;;;;;;
D;171;1815198;50;20031002 11:12;V;;;;;;
B;171;1815924;51;20031002 11:12;;39;6;GRAY ST;TWEED HEADS;2485;;;20030328;20030428;120000;;R;RESIDENCE;39;;;0;9989618;
C;171;1815924;51;20031002 11:12;39//SP 47465;
D;171;1815924;51;20031002 11:12;P;;;;;;
D;171;1815924;51;20031002 11:12;P;;;;;;
D;171;1815924;51;20031002 11:12;V;;;;;;
D;171;1815924;51;20031002 11:12;V;;;;;;
B;171;1816065;52;20031002 11:12;;;30;GREEN VALLEY WAY;PIGGABEEN;2485;2.134;H;20030806;20030922;495000;R;R;RESIDENCE;;RB;;0;9997123;
C;171;1816065;52;20031002 11:12;24//246052;
D;171;1816065;52;20031002 11:12;P;;;;;;
D;171;1816065;52;20031002 11:12;P;;;;;;
D;171;1816065;52;20031002 11:12;V;;;;;;
B;171;1816094;53;20031002 11:12;;21;87;GREENWAY DR;BANORA POINT;2486;;;20030604;20030704;175000;;R;RESIDENCE;21;;;0;9994494;
C;171;1816094;53;20031002 11:12;21//SP 55853;
D;171;1816094;53;20031002 11:12;P;;;;;;
D;171;1816094;53;20031002 11:12;P;;;;;;
D;171;1816094;53;20031002 11:12;V;;;;;;
D;171;1816094;53;20031002 11:12;V;;;;;;
B;171;1816094;54;20031002 11:12;;52;87;GREENWAY DR;BANORA POINT;2486;;;20030813;20030912;190000;;R;RESIDENCE;52;;;0;AA9781;
C;171;1816094;54;20031002 11:12;52//SP 55853;
D;171;1816094;54;20031002 11:12;P;;;;;;
D;171;1816094;54;20031002 11:12;V;;;;;;
D;171;1816094;54;20031002 11:12;V;;;;;;
B;171;1816220;55;20031002 11:12;;;11;GREVILLE ST;MURWILLUMBAH;2484;398.4;M;20030630;20030722;162000;A;R;RESIDENCE;;JS;;0;9951246;
C;171;1816220;55;20031002 11:12;17/6/2974;
D;171;1816220;55;20031002 11:12;P;;;;;;
D;171;1816220;55;20031002 11:12;V;;;;;;
D;171;1816220;55;20031002 11:12;V;;;;;;
B;171;1816230;56;20031002 11:12;;;9;GREVILLEA RD;BOGANGAR;2488;613.3;M;20030226;20030328;230000;A;R;RESIDENCE;;JU;;0;9967778;
C;171;1816230;56;20031002 11:12;580//217268;
D;171;1816230;56;20031002 11:12;P;;;;;;
D;171;1816230;56;20031002 11:12;P;;;;;;
D;171;1816230;56;20031002 11:12;V;;;;;;
B;171;1816556;57;20031002 11:12;;4;54;HASTINGS RD;BOGANGAR;2488;;;20030730;20030828;232000;;R;RESIDENCE;4;;;99;9988289;
C;171;1816556;57;20031002 11:12;4//SP 32967;
D;171;1816556;57;20031002 11:12;P;;;;;;
D;171;1816556;57;20031002 11:12;P;;;;;;
D;171;1816556;57;20031002 11:12;V;;;;;;
B;171;1816605;58;20031002 11:12;;2;6;HASTINGS RD;BOGANGAR;2488;;;20030613;20030627;288000;;R;RESIDENCE;2;;;0;9967217;
C;171;1816605;58;20031002 11:12;2//SP 44066;
D;171;1816605;58;20031002 11:12;P;;;;;;
D;171;1816605;58;20031002 11:12;P;;;;;;
D;171;1816605;58;20031002 11:12;V;;;;;;
B;171;1816705;59;20031002 11:12;;;51;HENRY LAWSON DR;TERRANORA;2486;1323;M;20030604;20030704;298000;A;R;RESIDENCE;;MH;;0;AA421;
C;171;1816705;59;20031002 11:12;84//841923;
D;171;1816705;59;20031002 11:12;P;;;;;;
D;171;1816705;59;20031002 11:12;V;;;;;;
D;171;1816705;59;20031002 11:12;V;;;;;;
B;171;1816939;60;20031002 11:12;;;41;HILLCREST AVE;TWEED HEADS SOUTH;2486;562.8;M;20030521;20030819;285000;A;R;RESIDENCE;;NB;;0;9969804;
C;171;1816939;60;20031002 11:12;21/10/28266;
D;171;1816939;60;20031002 11:12;P;;;;;;
D;171;1816939;60;20031002 11:12;V;;;;;;
B;171;1817060;61;20031002 11:12;;;21;HOLDEN ST;TWEED HEADS SOUTH;2486;;;20030627;20030725;288000;A;R;RESIDENCE;;NK;;0;9973711;
C;171;1817060;61;20031002 11:12;15//240408;
D;171;1817060;61;20031002 11:12;P;;;;;;
D;171;1817060;61;20031002 11:12;P;;;;;;
D;171;1817060;61;20031002 11:12;V;;;;;;
B;171;1817165;62;20031002 11:12;;;11;HONEYMYRTLE DR;BANORA POINT;2486;611.7;M;20030808;20030908;320000;A;R;RESIDENCE;;HR;;0;9990932;
C;171;1817165;62;20031002 11:12;631//839039;
D;171;1817165;62;20031002 11:12;P;;;;;;
D;171;1817165;62;20031002 11:12;V;;;;;;
D;171;1817165;62;20031002 11:12;V;;;;;;
B;171;1817544;63;20031002 11:12;;110;;INGRAM PL;MURWILLUMBAH;2484;;;20030829;20030829;134000;;R;RESIDENCE;110;;;0;9991772;
C;171;1817544;63;20031002 11:12;110//SP 34198;
